Date,Transaction
1/25/17,Atlanta Braves invited non-roster RHP Patrick Weigel to spring training.
1/25/17,San Diego Padres sent RF Jabari Blash outright to El Paso Chihuahuas.
1/25/17,Atlanta Braves invited non-roster C Joe Odom to spring training.
1/25/17,Atlanta Braves invited non-roster C Braeden Schlehuber to spring training.
1/25/17,Atlanta Braves invited non-roster C Kade Scivicque to spring training.
1/25/17,Atlanta Braves invited non-roster 2B Ozzie Albies to spring training.
1/25/17,Atlanta Braves invited non-roster 2B Travis Demeritte to spring training.
1/25/17,Atlanta Braves invited non-roster OF Dustin Peterson to spring training.
1/25/17,Boston Red Sox claimed Steve Selsky off waivers from Cincinnati Reds.
1/25/17,Oakland Athletics sent RHP Zach Neal outright to Nashville Sounds.
1/25/17,Detroit Tigers sent Anthony Gose outright to Toledo Mud Hens.
1/25/17,Philadelphia Phillies signed free agent C Ryan Hanigan to a minor league contract and invited him to spring training.
1/25/17,Cleveland Indians signed free agent CF Austin Jackson to a minor league contract and invited him to spring training.
